ticket_text,actual_team,predicted_team,is_correct,confidence_score,routing_decision
"Please review this request Hello, Tracking has not updated in a while. It involves subscription plan on my side. At the same time, the renewal amount looks different from what I expected. Any help would be appreciated.",Orders & Delivery,Orders & Delivery,True,0.34903585018551053,Human review
"Need an update on this issue Hello, I think the wrong item was sent. Also, i need to return the item because it is not as expected.",Orders & Delivery,Orders & Delivery,True,0.3513935105219272,Human review
"Issue with authentication problem Hello, I cannot complete the workflow becuase something keeps breaking. Also, i cannot sign in to my account at the moment. I was hoping this would be fixed by now. Any help would be appreciated.",Technical Support,Account Access,False,0.35498029338612,Human review
"PROBLEM WITH SERVICE Can someone help with this? This looks like an account access problem. Also, the issue seems technical because the same step keeps timing out. This seems linked to my recent order. This has been going on since yesterday.",Account Access,Account Access,True,0.36176914188206316,Human review
"Please review this request This is more of a general product question. Also, i cannot complete the workflow because something keeps breaking. This happened shortly after I updated my details.",Product Inquiry,Technical Support,False,0.3640559024498673,Human review
"Follow-up on my previous issue please Good morning, I need someone to review the billing on this account. This may also be related becuase i need more information before making a decision. I have already tried a few times with no success. Please let me know what I should do next.",Billing,Billing,True,0.3643044347920375,Human review
"Need help with my account Hi team, There appears to be an isue with the dispatch. It involves starter kit on my side. I noticed this after trying to make a payment. I need this resolved as soon as possible. Kindly check this.",Orders & Delivery,Orders & Delivery,True,0.3659732836342636,Human review
"URGENT - Question about my account Good morning, I need to return the item because it is not as expected. It involves premium device on my side. At the same time, the system keeps showing an error when I try to continue. I noticed this after trying to make a payment. Please let me know what I should do next.",Refunds & Returns,Refunds & Returns,True,0.3679623552947475,Human review
"Please review this request I am not sure why this payment failed. In addition, i think the wrong item was sent. Any help would be appreciated.",Billing,Billing,True,0.3687799630528894,Human review
Problem with service I cannot sign in to my acount at the moment. This happened shortly after I updated my details. I have already tried a few times with no success. Any help would be appreciated.,Account Access,Account Access,True,0.3694986065832147,Human review
"URGENT - Issue with recent order The app crashes when I try to use this feature. At the same time, i want to understand the pricing options better. Please look into this.",Technical Support,Product Inquiry,False,0.37002564706941,Human review
"Support request Hi team, The renewal amount looks different from what I expected. It involves replacement unit on my side. This may also be related because i have not had an update on my refund yet. This is becoming urgent.",Billing,Billing,True,0.37083342805941677,Human review
"Hello, The product arrived damaged and I need help with next steps. Also, the amount shown on the invoice looks wrong. This seems linked to my recent order. I have already tried a few times with no success. Thanks.",Refunds & Returns,Billing,False,0.37086181312143357,Human review
"Need support urgently I think I was charged incorrectly for this. At the same time, i still cannot access the portal after trying several times. This has been going on since yesterday.",Billing,Billing,True,0.37259648471222806,Human review
"URGENT - Issue with recent order Can someone help with this? There appears to be an issue with the dispatch. It involves invoice portal on my side. At the same time, the invoice does not look right to me.",Orders & Delivery,Orders & Delivery,True,0.3730140100466542,Human review
Question about Starter Kit I am not sure whether this product suports my use case. This started after my last purchase. This is affecting my work today. I would appreciate a quick response.,Product Inquiry,Product Inquiry,True,0.3733328727835005,Human review
"Follow-up on my previous issue Good morning, This is more of a general product question. Also, i am seeing unexpected behaviour in the product. please look into this.",Product Inquiry,Technical Support,False,0.37510529378832186,Human review
"Need an update I want to know the status of the return request. Also, there appears to be an issue with the dispatch. I need this resolved as soon as possible. pls let me know what I should do next.",Refunds & Returns,Orders & Delivery,False,0.3779585334451989,Human review
Question about my acount I would like a refund for this order. This started after my last purchase. I was hoping this would be fixed by now. Thanks.,Refunds & Returns,Refunds & Returns,True,0.3782988826052905,Human review
"Problem with service Hi team, The product arrived damaged and I need help with next steps. This may also be related because the package is missing and I need an update.",Refunds & Returns,Refunds & Returns,True,0.3792022692774912,Human review
"Problem with service I need more information before making a decision. Also, i need someone to review the billing on this account. I am using the service on mobile. please let me know what I should do next.",Product Inquiry,Product Inquiry,True,0.3800006514698573,Human review
"Issue with recent order This has become a problem for me. Authentication is not going through on my side. At the same time, the isue seems technical because the same step keeps timing out. This is affecting my work today. I would appreciate a quick response.",Account Access,Account Access,True,0.3806243978906358,Human review
"Need support urgently Hi team, This was working before but now it keeps failing. Also, i still cannot access the portal after trying several times. Please advise.",Technical Support,Technical Support,True,0.38260371250169206,Human review
"URGENT - Support request This has become a problem for me. There seems to be a delay with the shipment. Also, i need more information before making a decision. I only need a clear update on what is happening. This has been going on since yesterday.",Orders & Delivery,Product Inquiry,False,0.38510466742323185,Human review
"Good morning, I would like a refund for this order. It involves premium device on my side. At the same time, delivery is taking longer than expected. This seems linked to my recent order. This is quite frustrating. Thanks.",Refunds & Returns,Refunds & Returns,True,0.38714732486910824,Human review
Need an update on this issue I need help with something. I am not sure why this payment failed. It involves replacement unit on my side. This may also be related because i would like a refund for this order. I would appreciate a quick response.,Billing,Billing,True,0.387226375715712,Human review
"Help needed today The package is missing and I need an update. At the same time, i am trying to return this purchase. I need this resolved as soon as possible. Any help would be appreciated.",Orders & Delivery,Orders & Delivery,True,0.3877143414581268,Human review
"Problem with Premium Device I need to return the item becuase it is not as expected. In addition, the package is missing and I need an update. This is becoming urgent.",Refunds & Returns,Refunds & Returns,True,0.38787389615717605,Human review
"Need support urgently Good morning, There seems to be a problem with the payment on my account. Please advise.",Billing,Billing,True,0.3884434713994995,Human review
"Question about my account This has become a problem for me. I need someone to review the billing on this account. In addition, delivery is taking longer than expected. I need this resolved as soon as possible. Please look into this.",Billing,Billing,True,0.3885213779597299,Human review
Need an update on this isue Authentication is not going through on my side. This may also be related because i am not sure why this payment failed. This seems linked to my recent order. This has been going on since yesterday. Please advise.,Account Access,Account Access,True,0.38953015862490503,Human review
"URGENT - information request on my account This is more of a general product question. In addition, the issue seems technical because the same step keeps timing out. I am using the web version. I need this resolved as soon as possible. Please look into this.",Product Inquiry,Product Inquiry,True,0.39016567754364173,Human review
timeout on my acount I need help with something. Authentication is not going through on my side. This may also be related because the page is not loading properly and I cannot complete the task. I noticed this after trying to make a payment. I have already tried a few times with no success.,Account Access,Account Access,True,0.39081648384891443,Human review
"Help needed again This has become a problem for me. My order has still not arrived. In addition, i need to return the item because it is not as expected. This happened shortly after I updated my details. I need this resolved as soon as possible. Please advise.",Orders & Delivery,Orders & Delivery,True,0.3913771414839892,Human review
"Need help with my acount I cannot tell where the order currently is. Also, can you explain how this feature works?",Orders & Delivery,Orders & Delivery,True,0.39239161473490697,Human review
Help needed Can someone help with this? I appear to be locked out and cannot get back in. It involves customer portal on my side. This may also be related because the page is not loading properly and I cannot complete the task. I need this resolved as soon as possible.,Account Access,Account Access,True,0.3940041998442503,Human review
"Follow-up on my previous issue Good morning, I am comparing plans and need clarification. I only need a clear update on what is happening. I would appreciate a quick response.",Product Inquiry,Product Inquiry,True,0.39463218850150517,Human review
"URGENT - Need help with Replacement Unit This has become a problem for me. Tracking has not updated in a while. Also, i want to know the status of the return request. I need this resolved as soon as possible.",Orders & Delivery,Orders & Delivery,True,0.39467871241314617,Human review
Need help with Premium Device I need my money back if this cannot be resolved. I noticed this after trying to make a payment. I have already tried a few times with no success. Thanks.,Refunds & Returns,Refunds & Returns,True,0.39506645815248337,Human review
"Follow-up on my previous issue Hi team, I cannot complete the workflow becuase something keeps breaking. In addition, authentication is not going through on my side. I would appreciate a quick response.",Technical Support,Technical Support,True,0.3955448790491898,Human review
"Can someone help Can someone help with this? I need someone to review the billing on this account. At the same time, the login step keeps failing even though my details should be correct. This is quite frustrating. Please look into this.",Billing,Billing,True,0.39616677806333495,Human review
"URGENT - Question about my account today This has become a problem for me. The item is damaged so I may need a replacement or refund. In addition, tracking has not updated in a while. I need this resolved as soon as possible. I would appreciate a quick response.",Refunds & Returns,Refunds & Returns,True,0.4013676083322731,Human review
"Need help with my account Hi team, There appears to be an isue with the dispatch. It involves starter kit on my side. I noticed this after trying to make a payment. I need this resolved as soon as possible.",Orders & Delivery,Orders & Delivery,True,0.4019280645154351,Human review
"Please review this request Hi team, The renewal amount looks different from what I expected. This seems linked to my recent order. This has been going on since yesterday. pls advise.",Billing,Billing,True,0.4041067420869966,Human review
"Question about Web App Hi team, This was workng before but now it keeps failing. I noticed this after trying to make a payment. I need this resolved as soon as possible. Please let me know what I should do next.",Technical Support,Technical Support,True,0.4054355314342932,Human review
"URGENT - Issue with recent order I need help with something. I want to know the status of the return request. At the same time, delivery is taking longer than expected. I do not know if this should go to billing or support. Please advise.",Refunds & Returns,Refunds & Returns,True,0.4065540499595775,Human review
"Need an update Hello, I have not had an update on my refund yet. This may also be related because i need someone to review the billing on this account. This is affecting my work today.",Refunds & Returns,Billing,False,0.4066099220469542,Human review
"Can someone help I NEED HELP WITH SOMETHING. THE PACKAGE IS MISSING AND I NEED AN UPDATE. AT THE SAME TIME, I NEED TO RETURN THE ITEM BECAUSE IT IS NOT AS EXPECTED. I AM USING THE WEB VERSION. THIS IS AFFECTING MY WORK TODAY. PLEASE LET ME KNOW WHAT I SHOULD DO NEXT.",Orders & Delivery,Orders & Delivery,True,0.40863307660012865,Human review
"Need an update on this issue Hello, I need my money back if this cannot be resolved. This may also be related because the isue seems technical because the same step keeps timing out. This seems linked to my recent order.",Refunds & Returns,Refunds & Returns,True,0.4094651219417703,Human review
"URGENT - Need an update on this isue today The verification step is failing and I need help. It involves invoice portal on my side. In addition, the amount shown on the invoice looks wrong. This is quite frustrating. Please advise.",Account Access,Account Access,True,0.41001404498005406,Human review
Need an update on this isue I have not had an update on my refund yet. It involves replacement unit on my side. This may also be related because i think the wrong item was sent. I do not know if this should go to biling or support.,Refunds & Returns,Refunds & Returns,True,0.4100299222836497,Human review
"Issue not resolved I am not sure why this payment failed. At the same time, i am comparing plans and need clarification. I am using the web version. I have already tried a few times with no success.",Billing,Billing,True,0.4101030810577285,Human review
"NEED AN UPDATE ON THIS ISSUE This has become a problem for me. My order has still not arrived. It involves replacement unit on my side. In addition, the invoice does not look right to me. I was hoping this would be fixed by now. Please advise.",Orders & Delivery,Orders & Delivery,True,0.4101169287902758,Human review
"Issue with plan options I need help with something. I need help understanding whether this is compatible with my setup. In addition, i need someone to review the billing on this account. I noticed this after trying to make a payment. Any help would be appreciated.",Product Inquiry,Product Inquiry,True,0.41052638568082067,Human review
Please review this request I need help with something. This is more of a general product question. This may also be related because i noticed an unexpected charge and need clarification. This happened shortly after I updated my details. This has been going on since yesterday. I would appreciate a quick response.,Product Inquiry,Product Inquiry,True,0.41095450120617727,Human review
"Need help with Web App Hi, The login step keeps failing even though my details should be correct. It involves web app on my side. In addition, the page is not loading properly and I cannot complete the task. I only need a clear update on what is happening. Thanks.",Account Access,Account Access,True,0.41139277232749394,Human review
"Need help with my acount I need my money back if this cannot be resolved. In addition, i think the wrong item was sent. I noticed this after trying to make a payment. I was hoping this would be fixed by now. This is becoming urgent.",Refunds & Returns,Refunds & Returns,True,0.4116940358418521,Human review
"Need an update on this issue The password reset process is not working. It involves mobile app on my side. Also, the system keeps showing an error when I try to continue. I am using the service on mobile. I was hoping this would be fixed by now. Thanks.",Account Access,Account Access,True,0.41271273563887445,Human review
Need help with my account I need help understanding whether this is compatible with my setup. I only need a clear update on what is happening. This has been going on since yesterday. Please look into this.,Product Inquiry,Product Inquiry,True,0.4151229604998135,Human review
"Support request This has become a problem for me. This is more of a general product question. It involves starter kit on my side. Also, the password reset process is not working. This started after my last purchase. Please advise.",Product Inquiry,Product Inquiry,True,0.4153393125174836,Human review
"Need help with Customer Portal Hi team, Authentication is not going through on my side. Also, the invoice does not look right to me. This has been going on since yesterday. This is becoming urgent.",Account Access,Account Access,True,0.41624498540657423,Human review
"Problem with Customer Portal please Authentication is not going through on my side. In addition, the export fails halfway through and I do not know why. I only need a clear update on what is happening.",Account Access,Account Access,True,0.4167927648813102,Human review
PROBLEM WITH RECENT ACTIVITY I am not sure why this payment failed. This may also be related becuase tracking has not updated in a while. I am using the service on mobile. I need this resolved as soon as possible. I would appreciate a quick response.,Billing,Billing,True,0.41729298703645906,Human review
"Need an update Hi, I am comparing plans and need clarification. This may also be related because i think I was charged incorrectly for this. I am using the web version. This is quite frustrating.",Product Inquiry,Product Inquiry,True,0.41833819011850615,Human review
Please review this request I need help with something. This is more of a general product question. This may also be related because i noticed an unexpected charge and need clarification. This happened shortly after I updated my details. This has been going on since yesterday. I would appreciate a quick response. I need help with this.,Product Inquiry,Product Inquiry,True,0.41876848506761744,Human review
"Problem with recent activity This has become a problem for me. I am comparing plans and need clarification. Also, authentication is not going through on my side. Please let me know what I should do next.",Product Inquiry,Product Inquiry,True,0.4194832784072915,Human review
"URGENT - not loading on my account Hi team, The export fails halfway through and I do not know why. This started after my last purchase. This is affecting my work today. pls advise.",Technical Support,Technical Support,True,0.4196153900237067,Human review
Issue with delivery,Orders & Delivery,Orders & Delivery,True,0.4219728992113254,Human review
"Please review this request Hello, I am not sure why this payment failed. Also, the item is damaged so I may need a replacement or refnd. I am using the web version. I have already tried a few times with no success. Thanks. Please advise.",Billing,Billing,True,0.42215908699511917,Human review
2fa on my acount This has become a problem for me. The password reset process is not working. This may also be related because the export fails halfway through and I do not know why. This happened shortly after I updated my details. This has been going on since yesterday. Please advise.,Account Access,Account Access,True,0.42240444844552044,Human review
Need help with my account This was working before but now it keeps failing. This started after my last purchase. Thanks.,Technical Support,Technical Support,True,0.4238404903278965,Human review
Please review this request THIS WAS WORKNG BEFORE BUT NOW IT KEEPS FAILING. I WOULD APPRECIATE A QUICK RESPONSE.,Technical Support,Technical Support,True,0.42417497924297165,Human review
"Support request today Good morning, There seems to be a problem with the payment on my account. I need this resolved as soon as possible.",Billing,Billing,True,0.42551587331986973,Human review
"Please review this request Hello, I am not sure why this payment failed. Also, the item is damaged so I may need a replacement or refnd. I am using the web version. I have already tried a few times with no success. Thanks.",Billing,Billing,True,0.42564907208498276,Human review
"Follow-up on my previous issue Good morning, I cannot tell where the order currently is. I do not know if this should go to billing or support. This is quite frustrating. Thanks.",Orders & Delivery,Orders & Delivery,True,0.4289064636977769,Human review
Please review this request I would like a refund for this order. I noticed this after trying to make a payment. This has been going on since yesterday. Please advise.,Refunds & Returns,Refunds & Returns,True,0.4296180328246409,Human review
URGENT - Need an update on this issue The renewal amount looks different from what I expected. This seems linked to my recent order. Any help would be appreciated.,Billing,Billing,True,0.4297109788270344,Human review
"Issue not resolved Can you explain how this feature works? At the same time, i cannot complete the workflow because something keeps breaking. This has been going on since yesterday. I would appreciate a quick response.",Product Inquiry,Product Inquiry,True,0.43076442787714864,Human review
"Problem with service Can someone help with this? This is more of a general product question. At the same time, the page is not loading properly and I cannot complete the task.",Product Inquiry,Product Inquiry,True,0.432051076302139,Human review
"Problem with Invoice Portal Hello, I noticed an unexpected charge and need clarification. It involves invoice portal on my side. At the same time, i am not sure whether this product supports my use case. Please advise.",Billing,Product Inquiry,False,0.4321331979679719,Human review
Problem with recent activity still This has become a problem for me. I need to return the item because it is not as expected. This started after my last purchase. This is quite frustrating. I would appreciate a quick response.,Refunds & Returns,Refunds & Returns,True,0.43227232610244026,Human review
"Need an update on this issue again The verification step is failing and I need help. At the same time, there seems to be a problem with the payment on my account. I am using the web version. I need this resolved as soon as possible. Thanks.",Account Access,Account Access,True,0.43242370750385317,Human review
"Problem with recent activity Good morning, I would like a refund for this order. I am using the service on mobile. This has been going on since yesterday. Please advise.",Refunds & Returns,Refunds & Returns,True,0.43394640071744706,Human review
"Follow-up on my previous issue My order has still not arrived. It involves starter kit on my side. At the same time, the item is damaged so I may need a replacement or refund. I am using the service on mobile. This is affecting my work today. pls look into this.",Orders & Delivery,Orders & Delivery,True,0.4353314266780301,Human review
"how it works on my account I need help with something. The password reset process is not workng. It involves web app on my side. Also, i am comparing plans and need clarification. This is affecting my work today.",Account Access,Account Access,True,0.4362153704338496,Human review
"Question about my account please I need help with something. Authentication is not going through on my side. Also, the renewal amount looks different from what I expected. Please let me know what I should do next.",Account Access,Account Access,True,0.4362570927410893,Human review
"Can someone help Good morning, There appears to be an issue with the dispatch. Also, i would like a refund for this order. I have already tried a few times with no success. I would appreciate a quick response.",Orders & Delivery,Orders & Delivery,True,0.4362884275656408,Human review
"Problem with recent activity The page is not loading properly and I cannot complete the task. At the same time, this looks like an account access problem. I need this resolved as soon as possible. Any help would be appreciated.",Technical Support,Technical Support,True,0.43780903678957855,Human review
Need an update on this issue This looks like an account access problem. I do not know if this should go to billing or support. This is quite frustrating.,Account Access,Account Access,True,0.44105592792712794,Human review
"Help needed I need help with something. This was working before but now it keeps failing. Also, i cannot sign in to my account at the moment. I need this resolved as soon as possible.",Technical Support,Technical Support,True,0.4418705990081556,Human review
"Can someone help Good morning, The page is not loading properly and I cannot complete the task. Also, can you explain how this feature works? I need this resolved as soon as possible. Any help would be appreciated.",Technical Support,Technical Support,True,0.44194267354499117,Human review
"Help needed I want to understand the pricing options better. It involves invoice portal on my side. In addition, the system keeps showing an error when I try to continue.",Product Inquiry,Product Inquiry,True,0.44331562905852484,Human review
"URGENT - Issue with charge Hello, I would like a refund for this order. It involves replacement unit on my side. At the same time, i think I was charged incorrectly for this. I need this resolved as soon as possible. Thanks.",Refunds & Returns,Refunds & Returns,True,0.44518556667742,Human review
"Problem with Data Export The export fails halfway through and I do not know why. Also, i need more information before making a decision. I do not know if this should go to billing or support. I have already tried a few times with no success. Please look into this.",Technical Support,Product Inquiry,False,0.445643426357047,Human review
Help needed Can someone help with this? The login step keeps failing even though my details should be correct. This may also be related because the invoice does not look right to me. This started after my last purchase.,Account Access,Account Access,True,0.4456462195894761,Human review
Question about Customer Portal Can someone help with this? The password reset process is not working. It involves customer portal on my side. This may also be related because could you explain the difference between the available options?,Account Access,Account Access,True,0.4461415829025042,Human review
"Issue with locked out This was working before but now it keeps failing. At the same time, the login step keeps failing even though my details should be correct. I was hoping this would be fixed by now.",Technical Support,Technical Support,True,0.4472008747395631,Human review
"Need an update on this issue I want to know the status of the return request. In addition, the invoice does not look right to me.",Refunds & Returns,Refunds & Returns,True,0.4478104615308355,Human review
"pls check this Good morning, I am trying to return this purchase. I am using the web version. Thanks.",Refunds & Returns,Refunds & Returns,True,0.4488981520761506,Human review
"Issue with recent order Good morning, The login step keeps failing even though my details should be correct. It involves mobile app on my side. Also, i need someone to review the billing on this account. This is affecting my work today.",Account Access,Account Access,True,0.44902773331952733,Human review
"Help needed Tracking has not updated in a while. It involves subscription plan on my side. Also, there seems to be a problem with the payment on my account. I am using the web version. This is becoming urgent.",Orders & Delivery,Orders & Delivery,True,0.4490907689122197,Human review
"Please review this request again There seems to be a delay with the shipment. It involves starter kit on my side. Also, i would like a refund for this order. This has been going on since yesterday. Please let me know what I should do next.",Orders & Delivery,Orders & Delivery,True,0.45186105911313956,Human review
"URGENT - Can someone help Hello, I cannot complete the workflow because something keeps breaking. At the same time, i cannot sign in to my account at the moment. This seems linked to my recent order. This is affecting my work today. This is becoming urgent.",Technical Support,Technical Support,True,0.45265883157005576,Human review
"URGENT - isue not resolved still Hi team, I cannot complete the workflow becuase something keeps breaking. I am using the service on mobile. I need this resolved as soon as possible. Please advise.",Technical Support,Technical Support,True,0.4528825679807023,Human review
"Help needed Hi team, I think I was charged incorrectly for this. In addition, the item is damaged so I may need a replacement or refund. I am using the service on mobile. Please look into this.",Billing,Billing,True,0.4530291209230883,Human review
"URGENT - Problem with recent activity I need help with something. There seems to be a delay with the shipment. At the same time, i noticed an unexpected charge and need clarification. This is becoming urgent.",Orders & Delivery,Orders & Delivery,True,0.45523651995997627,Human review
"Need help with my account Hi team, I would like a refund for this order. This started after my last purchase. Please look into this.",Refunds & Returns,Refunds & Returns,True,0.4567048929319245,Human review
Please review this request This has become a problem for me. The password reset process is not working. This may also be related because this was working before but now it keeps failing. This seems linked to my recent order. Please look into this.,Account Access,Account Access,True,0.45749047544068827,Human review
"Problem with service Hi, I am comparing plans and need clarification. This is affecting my work today. Thanks.",Product Inquiry,Product Inquiry,True,0.45967525769168327,Human review
URGENT - Please check this Can someone help with this? I am not sure whether this product supports my use case. This may also be related because i still cannot access the portal after trying several times. I am using the service on mobile. Please advise.,Product Inquiry,Product Inquiry,True,0.45977862459789975,Human review
"PROBLEM WITH SERVICE TODAY Hi team, I am not sure whether this product supports my use case. It involves subscription plan on my side. Also, this looks like an account access problem. Thanks.",Product Inquiry,Product Inquiry,True,0.4598141015369636,Human review
"URGENT - Need help with my account Hello, The invoice does not look right to me. Also, this is more of a general product question. This seems linked to my recent order.",Billing,Billing,True,0.4599491757016127,Human review
Follow-up on my previous issue There seems to be a problem with the payment on my acount. This has been going on since yesterday.,Billing,Billing,True,0.4616280750394824,Human review
"PROBEM WITH SERVICE Hello, I think I was charged incorrectly for this. It involves replacement unit on my side. In addition, i would like a refund for this order. Any help would be appreciated.",Billing,Billing,True,0.46361364481172074,Human review
"Support request Good morning, I want to understand the pricing options better. Also, i appear to be locked out and cannot get back in. This started after my last purchase. I was hoping this would be fixed by now. Please advise.",Product Inquiry,Product Inquiry,True,0.4652651432923796,Human review
"Need help with Premium Device I think the wrong item was sent. In addition, i need my money back if this cannot be resolved. This happened shortly after I updated my details. This is affecting my work today.",Orders & Delivery,Orders & Delivery,True,0.46661823297548566,Human review
"Question about my account The amount shown on the invoice looks wrong. It involves subscription plan on my side. In addition, i want to understand the pricing options better. Please advise.",Billing,Billing,True,0.469010595160122,Human review
"Please review this request I cannot tell where the order currently is. In addition, the product arrived damaged and I need help with next steps. This seems linked to my recent order.",Orders & Delivery,Orders & Delivery,True,0.4690614938380897,Human review
"Question about Mobile App Hi team, I still cannot access the portal after trying several times. In addition, can you explain how this feature works? I am using the service on mobile. I need this resolved as soon as possible.",Account Access,Account Access,True,0.469550455989241,Human review
"Question about Mobile App I appear to be locked out and cannot get back in. It involves mobile app on my side. Also, the system keeps showing an error when I try to continue. This happened shortly after I updated my details.",Account Access,Account Access,True,0.4696733336290558,Human review
Follow-up on my previous issue I am trying to return this purchase. This seems linked to my recent order. This has been going on since yesterday. Any help would be appreciated.,Refunds & Returns,Refunds & Returns,True,0.46989504495069623,Human review
Need support urgently Tracking has not updated in a while. I am using the service on mobile. Please let me know what I should do next.,Orders & Delivery,Orders & Delivery,True,0.47237104406872366,Human review
"Problem with Customer Portal Hello, I cannot sign in to my account at the moment. This may also be related because the app crashes when I try to use this feature. Please advise.",Account Access,Account Access,True,0.4756965394864808,Human review
"Issue with recent order Hello, I am not sure whether this product supports my use case. At the same time, the issue seems technical because the same step keeps timing out. I have already tried a few times with no success. Please let me know what I should do next.",Product Inquiry,Product Inquiry,True,0.47719126209535945,Human review
URGENT - Problem with service The login step keeps failing even though my details should be correct. I am using the web version. Any help would be appreciated.,Account Access,Account Access,True,0.4777474257278313,Human review
Can someone help This has become a problem for me. The password reset process is not working. I have already tried a few times with no success. Thanks.,Account Access,Account Access,True,0.47797240003145025,Human review
"PASSWORD RESET ON MY ACCOUNT This has become a probem for me. The export fails halfway through and I do not know why. Also, i appear to be locked out and cannot get back in. I was hoping this would be fixed by now.",Technical Support,Account Access,False,0.4784142792438834,Human review
"Problem with recent activity Hi team, The app crashes when I try to use this feature. In addition, the login step keeps failing even though my details should be correct. This seems linked to my recent order.",Technical Support,Technical Support,True,0.4797915665651465,Human review
"Need an update on this issue Hi, I appear to be locked out and cannot get back in. It involves web app on my side. This may also be related because the renewal amount looks different from what I expected.",Account Access,Account Access,True,0.480573080313796,Human review
"Question about my acount Hello, I cannot tell where the order currently is. It involves replacement unit on my side. In addition, i would like a refnd for this order. This is quite frustrating. This is becoming urgent.",Orders & Delivery,Orders & Delivery,True,0.4812107175534484,Human review
unexpected fee on my account There seems to be a problem with the payment on my account. This started after my last purchase. This is quite frustrating.,Billing,Billing,True,0.4813369581410702,Human review
"Support request Good morning, This is more of a general product question. This may also be related because there seems to be a problem with the payment on my account.",Product Inquiry,Product Inquiry,True,0.48466858128468826,Human review
"Issue with timeout Hi, The app crashes when I try to use this feature. At the same time, this looks like an account access problem. I only need a clear update on what is happening. I was hoping this would be fixed by now. please advise.",Technical Support,Technical Support,True,0.48501337025895286,Human review
URGENT - Please review this request The password reset process is not working. It involves customer portal on my side. This may also be related because the issue seems technical because the same step keeps timing out.,Account Access,Account Access,True,0.48605577823479007,Human review
