ticket_id,created_at,channel,customer_tier,language,product_area,subject,description,routed_team,secondary_issue_team,priority,status,ticket_text,text_length_chars,text_length_words
TKT-002023,2025-01-03 08:39:55,web_form,Pro,English,Web App,URGENT - Need  an  update,Can  someone  help  with  this?  The  app  crashes  when  I  try  to  use  this  feature.  I  am  using  the  service  on  mobile.  I  was  hoping  this  would  be  fixed  by  now.  Please  look  into  this.,Technical Support,Unknown,Medium,Resolved,URGENT - Need an update Can someone help with this? The app crashes when I try to use this feature. I am using the service on mobile. I was hoping this would be fixed by now. Please look into this.,197,40
TKT-001876,2025-01-03 08:53:55,email,Basic,Spanish,Unknown,isue with recent order today,I want to know the status of the return request. It involves starter kit on my side. This is quite frustrating. Please let me know what I should do next.,Refunds & Returns,Unknown,Medium,Open,isue with recent order today I want to know the status of the return request. It involves starter kit on my side. This is quite frustrating. Please let me know what I should do next.,182,35
TKT-002911,2025-01-03 09:01:01,web_form,Enterprise,English,API,QUESTION ABOUT API,"Good morning, The export fails halfway through and I do not know why. This seems linked to my recent order. Please look into this.",Technical Support,Unknown,Medium,Pending,"QUESTION ABOUT API Good morning, The export fails halfway through and I do not know why. This seems linked to my recent order. Please look into this.",149,27
TKT-002959,2025-01-03 13:51:26,chat,Free,English,Customer Portal,Support request,"Hi, The verification step is failing and I need help. I do not know if this should go to billing or support. Please look into this.",Account Access,Unknown,High,Pending,"Support request Hi, The verification step is failing and I need help. I do not know if this should go to billing or support. Please look into this.",147,28
TKT-001892,2025-01-03 16:01:30,email,Basic,French,Replacement Unit,probem with service,"Hi team, There seems to be a delay with the shipment. This seems linked to my recent order. Please look into this.",Orders & Delivery,Unknown,Medium,Pending,"probem with service Hi team, There seems to be a delay with the shipment. This seems linked to my recent order. Please look into this.",134,25
TKT-002030,2025-01-03 19:15:40,email,Basic,English,Analytics Dashboard,Please review this request,Can someone help with this? I cannot complete the workflow because something keeps breaking. Please look into this.,Technical Support,Unknown,Medium,Resolved,Please review this request Can someone help with this? I cannot complete the workflow because something keeps breaking. Please look into this.,142,22
TKT-002300,2025-01-04 01:39:18,phone,Basic,English,Subscription Plan,Need help with Subscription Plan,This has become a problem for me. This is more of a general product question. I would appreciate a quick response.,Product Inquiry,Unknown,High,Resolved,Need help with Subscription Plan This has become a problem for me. This is more of a general product question. I would appreciate a quick response.,147,26
TKT-000077,2025-01-04 06:59:25,web_form,Free,French,Mobile App,Can someone help,"Good morning, The page is not loading properly and I cannot complete the task. It involves mobile app on my side. This may also be related because the login step keeps failing even though my details should be correct. This seems linked to my recent order.",Technical Support,Account Access,Medium,Pending,"Can someone help Good morning, The page is not loading properly and I cannot complete the task. It involves mobile app on my side. This may also be related because the login step keeps failing even though my details should be correct. This seems linked to my recent order.",272,49
TKT-003322,2025-01-04 09:37:51,chat,Basic,English,Subscription Plan,Question about Subscription Plan,I want to understand the pricing options better. It involves subscription plan on my side. This happened shortly after I updated my details. I was hoping this would be fixed by now. Please look into this.,Product Inquiry,Unknown,Low,Open,Question about Subscription Plan I want to understand the pricing options better. It involves subscription plan on my side. This happened shortly after I updated my details. I was hoping this would be fixed by now. Please look into this.,237,40
TKT-000703,2025-01-04 11:04:42,phone,Enterprise,English,Premium Device,ISSUE  WITH  PACKAGE,"There appears to be an issue with the dispatch. It involves premium device on my side. In addition, can you explain how this feature works? I was hoping this would be fixed by now.",Orders & Delivery,Product Inquiry,Medium,Pending,"ISSUE WITH PACKAGE There appears to be an issue with the dispatch. It involves premium device on my side. In addition, can you explain how this feature works? I was hoping this would be fixed by now.",199,37
TKT-003373,2025-01-04 11:50:10,email,Basic,English,Mobile App,probem with recent activity,"The page is not loading properly and I cannot complete the task. Also, the passwrod reset process is not working. This happened shortly after I updated my details. This is quite frustrating. Thanks.",Technical Support,Account Access,High,Open,"probem with recent activity The page is not loading properly and I cannot complete the task. Also, the passwrod reset process is not working. This happened shortly after I updated my details. This is quite frustrating. Thanks.",226,37
TKT-002878,2025-01-04 17:20:19,web_form,Enterprise,Spanish,Admin Console,URGENT - Can someone help,"Hello, I am comparing plans and need clarification. It involves admin console on my side. I do not know if this should go to billing or support. Thanks.",Product Inquiry,Unknown,High,Pending,"URGENT - Can someone help Hello, I am comparing plans and need clarification. It involves admin console on my side. I do not know if this should go to billing or support. Thanks.",178,33
TKT-001346,2025-01-04 17:33:58,email,Free,English,Starter Kit,Issue not resolved,"CAN SOMEONE HELP WITH THIS? I NEED MY MONEY BACK IF THIS CANNOT BE RESOLVED. ALSO, THE PACKAGE IS MISSING AND I NEED AN UPDATE. PLEASE LOOK INTO THIS.",Refunds & Returns,Orders & Delivery,Medium,Resolved,"Issue not resolved CAN SOMEONE HELP WITH THIS? I NEED MY MONEY BACK IF THIS CANNOT BE RESOLVED. ALSO, THE PACKAGE IS MISSING AND I NEED AN UPDATE. PLEASE LOOK INTO THIS.",169,32
TKT-003328,2025-01-04 18:45:41,email,Basic,English,Customer Portal,Question about Customer Portal,"I need help with something. This is more of a general product question. Also, the amount shown on the invoice looks wrong. This happened shortly after I updated my details. Please look into this.",Product Inquiry,Billing,Medium,Pending,"Question about Customer Portal I need help with something. This is more of a general product question. Also, the amount shown on the invoice looks wrong. This happened shortly after I updated my details. Please look into this.",226,38
TKT-DUP-00129,2025-01-04 18:50:07,email,Basic,English,Customer Portal,Question about Customer Portal,"I need help with something. This is more of a general product question. Also, the amount shown on the invoice looks wrong. This happened shortly after I updated my details. Please look into this. Please advise.",Product Inquiry,Billing,Medium,Pending,"Question about Customer Portal I need help with something. This is more of a general product question. Also, the amount shown on the invoice looks wrong. This happened shortly after I updated my details. Please look into this. Please advise.",241,40
TKT-001750,2025-01-04 20:52:55,phone,Enterprise,French,Mobile App,QUESTION ABOUT MOBILE APP,"Good morning, I am seeing unexpected behaviour in the product. In addition, i still cannot access the portal after trying several times. This started after my last purchase. I need this resolved as soon as possible. Thanks.",Technical Support,Account Access,High,Resolved,"QUESTION ABOUT MOBILE APP Good morning, I am seeing unexpected behaviour in the product. In addition, i still cannot access the portal after trying several times. This started after my last purchase. I need this resolved as soon as possible. Thanks.",249,41
TKT-001486,2025-01-04 21:35:49,email,Free,English,Subscription Plan,Problem with Subscription Plan,"Can  someone  help  with  this?  Could  you  explain  the  difference  between  the  available  options?  Also,  the  export  fails  halfway  through  and  I  do  not  know  why.  This  seems  linked  to  my  recent  order.  This  has  been  going  on  since  yesterday.  Any  help  would  be  appreciated.",Product Inquiry,Technical Support,Low,Resolved,"Problem with Subscription Plan Can someone help with this? Could you explain the difference between the available options? Also, the export fails halfway through and I do not know why. This seems linked to my recent order. This has been going on since yesterday. Any help would be appreciated.",293,49
TKT-002019,2025-01-05 04:50:07,email,Basic,English,Premium Device,Help needed,The item is damaged so I may need a replacement or refund. It involves premium device on my side. I noticed this after trying to make a payment. I would appreciate a quick response.,Refunds & Returns,Unknown,Low,Open,Help needed The item is damaged so I may need a replacement or refund. It involves premium device on my side. I noticed this after trying to make a payment. I would appreciate a quick response.,193,36
TKT-000620,2025-01-05 06:04:48,email,Unknown,English,Analytics Dashboard,Please review this request,"Hi team, The system keeps showing an error when I try to continue. It involves analytics dashboard on my side. I am using the service on mobile.",Technical Support,Unknown,Medium,Open,"Please review this request Hi team, The system keeps showing an error when I try to continue. It involves analytics dashboard on my side. I am using the service on mobile.",171,31
TKT-002840,2025-01-05 06:17:50,chat,Pro,English,Starter Kit,ISSUE NOT RESOLVED,"Hello,  I  cannot  tell  where  the  order  currently  is.  I  noticed  this  after  trying  to  make  a  payment.  Please  let  me  know  what  I  should  do  next.",Orders & Delivery,Unknown,Low,Open,"ISSUE NOT RESOLVED Hello, I cannot tell where the order currently is. I noticed this after trying to make a payment. Please let me know what I should do next.",158,30
TKT-002026,2025-01-05 08:06:01,chat,Pro,Spanish,Web App,password reset on my account,,Account Access,Unknown,High,Open,password reset on my account,28,5
TKT-002036,2025-01-05 10:36:19,web_form,Enterprise,Spanish,Customer Portal,HELP NEEDED,"The renewal amount looks different from what I expected. Also, i am comparing plans and need clarification. This is affecting my work today.",Billing,Product Inquiry,Medium,Resolved,"HELP NEEDED The renewal amount looks different from what I expected. Also, i am comparing plans and need clarification. This is affecting my work today.",152,25
TKT-001300,2025-01-05 11:51:45,chat,Free,French,Web App,Need help with my account,The export fails halfway through and I do not know why. Please advise.,Technical Support,Unknown,Medium,Open,Need help with my account The export fails halfway through and I do not know why. Please advise.,96,18
TKT-000482,2025-01-05 12:15:43,email,Free,Spanish,Admin Console,PLEASE REVIEW THIS REQUEST,THIS HAS BECOME A PROBLEM FOR ME. I STILL CANNOT ACCESS THE PORTAL AFTER TRYING SEVERAL TIMES. PLEASE LOOK INTO THIS.,Account Access,Unknown,High,Pending,PLEASE REVIEW THIS REQUEST THIS HAS BECOME A PROBLEM FOR ME. I STILL CANNOT ACCESS THE PORTAL AFTER TRYING SEVERAL TIMES. PLEASE LOOK INTO THIS.,144,25
TKT-001898,2025-01-05 14:19:56,email,Free,French,Subscription Plan,Issue not resolved,This is more of a general product question. This has been going on since yesterday. Please look into this.,Product Inquiry,Unknown,Medium,Resolved,Issue not resolved This is more of a general product question. This has been going on since yesterday. Please look into this.,125,22
TKT-002946,2025-01-05 20:38:14,chat,Unknown,French,Replacement Unit,Question  about  Replacement  Unit,"Hello, I cannot tell where the order currently is. It involves replacement unit on my side. Also, i have not had an update on my refnd yet. I am using the service on mobile. I would appreciate a quick response.",Orders & Delivery,Refunds & Returns,High,Open,"Question about Replacement Unit Hello, I cannot tell where the order currently is. It involves replacement unit on my side. Also, i have not had an update on my refnd yet. I am using the service on mobile. I would appreciate a quick response.",242,44
TKT-001816,2025-01-05 21:27:30,phone,Enterprise,French,Admin Console,Please review this request,Can someone help with this? Can you explain how this feature works? This started after my last purchase. I have already tried a few times with no success. This is becoming urgent.,Product Inquiry,Unknown,Low,Open,Please review this request Can someone help with this? Can you explain how this feature works? This started after my last purchase. I have already tried a few times with no success. This is becoming urgent.,206,36
TKT-001993,2025-01-06 00:02:17,chat,Enterprise,Spanish,Customer Portal,Support request,"This has become a probem for me. This looks like an account access problem. Also, this was working before but now it keeps failing. This is quite frustrating. Thanks.",Account Access,Technical Support,Medium,Open,"Support request This has become a probem for me. This looks like an account access problem. Also, this was working before but now it keeps failing. This is quite frustrating. Thanks.",182,31
TKT-001991,2025-01-06 01:56:52,web_form,Pro,Spanish,Replacement Unit,Problem  with  Replacement  Unit  still,"Hello, The product arrived damaged and I need help with next steps. It involves replacement unit on my side. In addition, the package is missing and I need an update.",Refunds & Returns,Orders & Delivery,Low,Open,"Problem with Replacement Unit still Hello, The product arrived damaged and I need help with next steps. It involves replacement unit on my side. In addition, the package is missing and I need an update.",202,35
TKT-001466,2025-01-06 02:12:28,email,Basic,English,Web App,Need an update on this issue,"Good morning, The page is not loading properly and I cannot complete the task.",Technical Support,Unknown,Low,Pending,"Need an update on this issue Good morning, The page is not loading properly and I cannot complete the task.",107,20
TKT-DUP-00007,2025-01-06 02:21:14,email,Basic,English,Web App,Need an update on this issue,"Good morning, The page is not loading properly and I cannot complete the task. Can someone update me?",Technical Support,Unknown,Low,Pending,"Need an update on this issue Good morning, The page is not loading properly and I cannot complete the task. Can someone update me?",130,24
TKT-000283,2025-01-06 02:21:46,chat,Basic,Spanish,API,URGENT - Need an update on this issue,"Hi, This was working before but now it keeps failing. This may also be related because the verification step is failing and I need help. This is becoming urgent.",Technical Support,Account Access,High,Open,"URGENT - Need an update on this issue Hi, This was working before but now it keeps failing. This may also be related because the verification step is failing and I need help. This is becoming urgent.",199,37
TKT-002108,2025-01-06 06:08:53,chat,Free,English,Unknown,Need an update,"Hello, I am trying to return this purchase. It involves replacement unit on my side. This may also be related because i noticed an unexpected charge and need clarification.",Refunds & Returns,Billing,Medium,Open,"Need an update Hello, I am trying to return this purchase. It involves replacement unit on my side. This may also be related because i noticed an unexpected charge and need clarification.",187,32
TKT-002876,2025-01-06 10:00:55,web_form,Pro,English,Starter Kit,Please review this request,"Hi team, I think the wrong item was sent. It involves starter kit on my side. Also, could you explain the difference between the available options?",Orders & Delivery,Product Inquiry,Medium,Pending,"Please review this request Hi team, I think the wrong item was sent. It involves starter kit on my side. Also, could you explain the difference between the available options?",174,30
TKT-000664,2025-01-06 10:09:14,email,Enterprise,English,API,URGENT - Help needed,,Product Inquiry,Unknown,Low,Open,URGENT - Help needed,20,4
TKT-000452,2025-01-06 10:36:55,email,Pro,English,Customer Portal,Please  review  this  request,"Hi team, The renewal amount looks different from what I expected. This seems linked to my recent order. This has been going on since yesterday. pls advise.",Billing,Unknown,Medium,Open,"Please review this request Hi team, The renewal amount looks different from what I expected. This seems linked to my recent order. This has been going on since yesterday. pls advise.",182,31
TKT-001407,2025-01-06 11:46:56,email,Pro,English,Mobile App,ISSUE WITH SYNC PROBLEM,This has become a problem for me. The export fails halfway through and I do not know why. It involves mobile app on my side. This may also be related because i noticed an unexpected charge and need clarification. I have already tried a few times with no success.,Technical Support,Billing,High,Open,ISSUE WITH SYNC PROBLEM This has become a problem for me. The export fails halfway through and I do not know why. It involves mobile app on my side. This may also be related because i noticed an unexpected charge and need clarification. I have already tried a few times with no success.,286,53
TKT-000019,2025-01-06 11:52:20,chat,Basic,English,Customer Portal,Help needed,I need help with something. This looks like an account access problem. I do not know if this should go to billing or support. I have already tried a few times with no success. pls look into this.,Account Access,Unknown,High,Open,Help needed I need help with something. This looks like an account access problem. I do not know if this should go to billing or support. I have already tried a few times with no success. pls look into this.,207,40
TKT-001397,2025-01-06 12:26:11,web_form,Enterprise,French,Invoice Portal,Follow-up on my previous issue,"Hi team, I am not sure why this payment failed. At the same time, there appears to be an isue with the dispatch. I need this resolved as soon as possible. Please look into this.",Billing,Orders & Delivery,High,Resolved,"Follow-up on my previous issue Hi team, I am not sure why this payment failed. At the same time, there appears to be an isue with the dispatch. I need this resolved as soon as possible. Please look into this.",208,40
TKT-002736,2025-01-06 13:12:55,email,Free,English,Web App,Please check this please,I  appear  to  be  locked  out  and  cannot  get  back  in.  This  is  affecting  my  work  today.,Account Access,Unknown,High,Resolved,Please check this please I appear to be locked out and cannot get back in. This is affecting my work today.,107,21
TKT-001166,2025-01-06 15:41:07,email,Free,English,Invoice Portal,URGENT - Problem with Invoice Portal,"This has become a problem for me. I noticed an unexpected charge and need clarification. In addition, authentication is not going through on my side. Please look into this.",Billing,Account Access,Medium,Resolved,"URGENT - Problem with Invoice Portal This has become a problem for me. I noticed an unexpected charge and need clarification. In addition, authentication is not going through on my side. Please look into this.",209,35
TKT-001184,2025-01-06 18:38:02,phone,Basic,English,Starter Kit,Need an update on this issue,"Hello, I would like a refund for this order. Any help would be appreciated.",Refunds & Returns,Unknown,Medium,Pending,"Need an update on this issue Hello, I would like a refund for this order. Any help would be appreciated.",104,20
TKT-002468,2025-01-06 22:34:08,email,Basic,English,Customer Portal,pls review this request,"Hello, I still cannot access the portal after trying several times. In addition, the issue seems technical because the same step keeps timing out. I have already tried a few times with no success. Any help would be appreciated.",Account Access,Technical Support,Medium,Open,"pls review this request Hello, I still cannot access the portal after trying several times. In addition, the issue seems technical because the same step keeps timing out. I have already tried a few times with no success. Any help would be appreciated.",251,43
TKT-000025,2025-01-06 23:02:59,chat,Basic,English,Customer Portal,Need help with my account,I need help understanding whether this is compatible with my setup. I only need a clear update on what is happening. This has been going on since yesterday. Please look into this.,Product Inquiry,Unknown,Medium,Pending,Need help with my account I need help understanding whether this is compatible with my setup. I only need a clear update on what is happening. This has been going on since yesterday. Please look into this.,205,37
TKT-002770,2025-01-07 03:55:54,email,Free,Spanish,Data Export,Issue with failed export,The app crashes when I try to use this feature. It involves data export on my side. This may also be related because the renewal amount looks different from what I expected. I noticed this after trying to make a payment. Please advise.,Technical Support,Billing,Medium,Open,Issue with failed export The app crashes when I try to use this feature. It involves data export on my side. This may also be related because the renewal amount looks different from what I expected. I noticed this after trying to make a payment. Please advise.,260,47
TKT-000171,2025-01-07 04:28:47,email,Enterprise,English,Invoice Portal,Need an update,"Good morning, The item is damaged so I may need a replacement or refund. In addition, there seems to be a problem with the payment on my account. I am using the service on mobile. This has been going on since yesterday.",Refunds & Returns,Billing,Medium,Resolved,"Need an update Good morning, The item is damaged so I may need a replacement or refund. In addition, there seems to be a problem with the payment on my account. I am using the service on mobile. This has been going on since yesterday.",234,45
TKT-DUP-00148,2025-01-07 05:47:03,email,Enterprise,English,Invoice Portal,Need an update,"Good morning, The item is damaged so I may need a replacement or refund. In addition, there seems to be a problem with the payment on my account. I am using the service on mobile. This has been going on since yesterday. Can someone update me?",Refunds & Returns,Billing,Medium,Resolved,"Need an update Good morning, The item is damaged so I may need a replacement or refund. In addition, there seems to be a problem with the payment on my account. I am using the service on mobile. This has been going on since yesterday. Can someone update me?",257,49
TKT-000635,2025-01-07 07:50:01,chat,Basic,English,Replacement Unit,Problem with Replacement Unit,Can someone help with this? I want to understand the pricing options better. This has been going on since yesterday. Thanks.,Product Inquiry,Unknown,Medium,Resolved,Problem with Replacement Unit Can someone help with this? I want to understand the pricing options better. This has been going on since yesterday. Thanks.,154,25
TKT-001437,2025-01-07 09:00:37,web_form,Unknown,French,Analytics Dashboard,Please review this request,I need help with something. The system keeps showing an error when I try to continue.,Technical Support,Unknown,Medium,Pending,Please review this request I need help with something. The system keeps showing an error when I try to continue.,112,20
TKT-002966,2025-01-07 09:30:32,email,Pro,Spanish,Replacement Unit,Please check this,"I  need  help  with  something.  I  am  trying  to  return  this  purchase.  It  involves  replacement  unit  on  my  side.  In  addition,  i  am  not  sure  why  this  payment  failed.  I  only  need  a  clear  update  on  what  is  happening.  I  was  hoping  this  would  be  fixed  by  now.  Please  advise.",Refunds & Returns,Billing,High,Pending,"Please check this I need help with something. I am trying to return this purchase. It involves replacement unit on my side. In addition, i am not sure why this payment failed. I only need a clear update on what is happening. I was hoping this would be fixed by now. Please advise.",280,53
TKT-002778,2025-01-07 09:47:06,email,Enterprise,Spanish,Mobile App,Support request,"Good morning, The verification step is failing and I need help. It involves mobile app on my side. I am using the service on mobile. Any help would be appreciated.",Account Access,Unknown,High,Pending,"Support request Good morning, The verification step is failing and I need help. It involves mobile app on my side. I am using the service on mobile. Any help would be appreciated.",179,32
TKT-003156,2025-01-07 10:21:10,chat,Basic,English,Invoice Portal,Need help with Invoice Portal,The invoice does not look right to me. I have already tried a few times with no success.,Billing,Unknown,Medium,Open,Need help with Invoice Portal The invoice does not look right to me. I have already tried a few times with no success.,118,23
TKT-001365,2025-01-07 13:15:38,chat,Pro,Spanish,Analytics Dashboard,Follow-up  on  my  previous  issue,"I need help with something. The app crashes when I try to use this feature. At the same time, the login step keeps failing even though my details should be correct. This has been going on since yesterday.",Technical Support,Account Access,High,Resolved,"Follow-up on my previous issue I need help with something. The app crashes when I try to use this feature. At the same time, the login step keeps failing even though my details should be correct. This has been going on since yesterday.",235,43
TKT-003353,2025-01-07 15:46:38,email,Pro,English,Mobile App,cannot sign in on my account,I still cannot access the portal after trying several times. This is becoming urgent.,Account Access,Unknown,Medium,Pending,cannot sign in on my account I still cannot access the portal after trying several times. This is becoming urgent.,114,20
