ticket_id,created_at,channel,customer_tier,language,product_area,subject,description,routed_team,secondary_issue_team,priority,status
TKT-001645,2025-09-30 14:25:47,web_form,Basic,Spanish,Starter Kit,Issue not resolved still,The product arrived damaged and I need help with next steps. It involves starter kit on my side.,Refunds & Returns,None,High,Resolved
TKT-001870,2025-11-13 07:32:08,web_form,Enterprise,French,Invoice Portal,Question about my acount,"Hello,  I  cannot  sign  in  to  my  account  at  the  moment.  It  involves  invoice  portal  on  my  side.  In  addition,  the  renewal  amount  looks  different  from  what  I  expected.  This  has  been  going  on  since  yesterday.",Account Access,Billing,Low,Resolved
TKT-001378,2025-03-21 19:21:02,phone,Enterprise,English,Data Export,Please check this today,I need help with something. I cannot complete the workflow because something keeps breaking. I would appreciate a quick response.,Technical Support,,High,Pending
TKT-003059,2025-04-13 17:20:14,web_form,Basic,Spanish,Replacement Unit,URGENT - Need help with my acount,"Hi, Tracking has not updated in a while. It involves replacement unit on my side. This may also be related because i would like a refund for this order. I do not know if this should go to billing or support.",Orders & Delivery,Refunds & Returns,Low,Open
TKT-003241,2025-10-28 04:40:58,phone,Free,English,Replacement Unit,Need help with Replacement Unit,This has become a problem for me. There appears to be an issue with the dispatch. It involves replacement unit on my side. I do not know if this should go to billing or support. I would appreciate a quick response.,Orders & Delivery,None,Low,Open
TKT-000913,2025-04-16 23:33:11,,Pro,Spanish,Mobile App,Problem  with  Mobile  App,"Hi, This looks like an account access problem.",Account Access,,Medium,Open
TKT-002097,2025-10-23 13:12:38,email,Basic,English,Mobile App,Please review this request,"Hi team, I cannot sign in to my account at the moment. At the same time, the issue seems technical because the same step keeps timing out. I was hoping this would be fixed by now. Any help would be appreciated.",Account Access,Technical Support,High,Open
TKT-002697,2025-05-16 17:27:36,email,Enterprise,English,Starter Kit,Issue with damaged item,I  need  help  with  something.  I  would  like  a  refund  for  this  order.  It  involves  starter  kit  on  my  side.,Refunds & Returns,None,Low,Pending
TKT-000535,2025-05-31 15:21:44,phone,Basic,English,Subscription Plan,Please review this request still,"I need help with something. The system keeps showing an error when I try to continue. Also, the invoice does not look right to me. This has been going on since yesterday. This is becoming urgent.",Technical Support,Billing,Medium,Resolved
TKT-DUP-00172,2025-07-20 03:25:37,web_form,Enterprise,English,Starter Kit,Issue with recent order,This has become a problem for me. There seems to be a delay with the shipment. It involves starter kit on my side. This may also be related because i need my money back if this cannot be resolved. This is still unresolved.,Orders & Delivery,Refunds & Returns,Low,Pending
TKT-001139,2025-12-21 20:58:17,email,Free,English,Premium Device,Please check this,"Good morning, I think the wrong item was sent.",Orders & Delivery,None,Medium,Resolved
TKT-002237,2025-12-06 06:44:20,web_form,Basic,French,Premium Device,URGENT - Please review this request,"Good morning, I think the wrong item was sent. At the same time, i want to know the status of the return request. This seems linked to my recent order. Any help would be appreciated.",Orders & Delivery,Refunds & Returns,Medium,Open
TKT-002981,2025-10-08 21:22:48,chat,Enterprise,English,Data Export,Please  review  this  request,"Hi,  The  app  crashes  when  I  try  to  use  this  feature.  It  involves  data  export  on  my  side.",Technical Support,None,Low,Open
TKT-002187,2025-05-09 21:02:59,phone,Free,English,Analytics Dashboard,Issue with recent order still,I  need  help  with  something.  I  am  not  sure  whether  this  product  supports  my  use  case.  I  need  this  resolved  as  soon  as  possible.  Thanks.,Product Inquiry,None,High,Resolved
TKT-000545,2025-07-23 15:55:28,email,Free,Spanish,Starter Kit,Need  help  with  Starter  Kit,"Hi team, The package is missing and I need an update. This may also be related becuase there seems to be a problem with the payment on my account.",Orders & Delivery,Billing,Low,Open
TKT-002406,2025-12-19 13:07:34,email,Basic,French,Data Export,URGENT - Support request,"Hello, This is more of a general product question. It involves data export on my side. In addition, there seems to be a probem with the payment on my account. This has been going on since yesterday. Any help would be appreciated.",Product Inquiry,Billing,Medium,Resolved
TKT-000212,2025-02-25 22:29:47,,Free,English,Subscription Plan,Please check this,"Hi team, I have not had an update on my refund yet. It involves subscription plan on my side. In addition, there seems to be a probem with the payment on my account. This happened shortly after I updated my details. This is quite frustrating.",Refunds & Returns,Billing,Low,Pending
TKT-000121,2025-07-07 08:55:31,chat,Pro,English,Replacement Unit,return request on my account,Can someone help with this? I need to return the item because it is not as expected. It involves replacement unit on my side. I am using the service on mobile. Please advise.,Refunds & Returns,None,Medium,Open
TKT-000150,2025-04-20 08:57:04,chat,Basic,English,Replacement Unit,Question about Replacement Unit,"Good morning, I need my money back if this cannot be resolved. I would appreciate a quick response.",Refunds & Returns,None,Medium,Open
TKT-001624,2025-03-02 08:34:08,chat,Basic,French,Replacement Unit,Need an update on this issue,I need help with something. The product arrived damaged and I need help with next steps. please let me know what I should do next.,Refunds & Returns,None,Low,Open
TKT-002754,2025-07-21 11:25:48,chat,Pro,English,Premium Device,Question about Premium Device,I would like a refund for this order. This may also be related because the renewal amount looks different from what I expected.,Refunds & Returns,,High,Open
TKT-001573,2025-10-08 22:16:08,email,Basic,French,Web App,Need support urgently,"Good morning, The issue seems technical because the same step keeps timing out. This seems linked to my recent order. I would appreciate a quick response.",Technical Support,None,Medium,Resolved
TKT-DUP-00040,2025-01-25 10:17:08,chat,Enterprise,French,Premium Device,Help needed again,"This  has  become  a  problem  for  me.  My  order  has  still  not  arrived.  In  addition,  i  need  to  return  the  item  because  it  is  not  as  expected.  This  happened  shortly  after  I  updated  my  details.  I  need  this  resolved  as  soon  as  possible.  Please  advise.",Orders & Delivery,Refunds & Returns,High,Pending
TKT-003481,2025-12-03 06:02:36,email,Pro,English,Customer Portal,Help needed,"Good morning, There seems to be a problem with the payment on my account. It involves customer portal on my side. This may also be related because this is more of a general product question. This happened shortly after I updated my details. Thanks.",Billing,Product Inquiry,High,Pending
TKT-002721,2025-04-14 01:55:05,web_form,Pro,English,Starter Kit,URGENT - Question about Starter Kit,I need help with something. This is more of a general product question. It involves starter kit on my side. This may also be related because the invoice does not look right to me. This is becoming urgent.,Product Inquiry,Billing,Medium,Pending
TKT-002114,2025-07-26 00:56:55,web_form,Basic,English,Customer Portal,Please review this request,"The  amount  shown  on  the  invoice  looks  wrong.  It  involves  customer  portal  on  my  side.  In  addition,  i  would  like  a  refund  for  this  order.  I  noticed  this  after  trying  to  make  a  payment.  This  has  been  going  on  since  yesterday.",Billing,Refunds & Returns,Low,Resolved
TKT-002139,2025-01-25 10:23:21,phone,Pro,English,Web App,Please check this,"Good morning, The password reset process is not working. This may also be related because i cannot complete the workflow because something keeps breaking. I noticed this after trying to make a payment.",Account Access,Technical Support,Medium,Open
TKT-000433,2025-07-06 03:36:06,phone,Enterprise,English,Replacement Unit,Help needed,Can someone help with this? I am comparing plans and need clarification. I was hoping this would be fixed by now. Please look into this.,Product Inquiry,None,Medium,Resolved
TKT-002906,2025-02-13 08:38:31,email,Enterprise,English,Replacement Unit,Need an update,"Hello, I think I was charged incorrectly for this. It involves replacement unit on my side. Also, i need to return the item because it is not as expected. This is affecting my work today. This is becoming urgent.",Billing,Refunds & Returns,Medium,Pending
TKT-000890,2025-06-30 20:37:03,phone,Pro,English,Customer Portal,FOLLOW-UP  ON  MY  PREVIOUS  ISSUE,"I think I was charged incorrectly for this. It involves customer portal on my side. Also, could you explain the difference between the available options? This seems linked to my recent order. I was hoping this would be fixed by now. pls look into this.",Billing,Product Inquiry,High,Pending
TKT-000292,2025-08-23 11:44:12,email,Free,French,Starter Kit,Need help with Starter Kit,This  has  become  a  problem  for  me.  I  want  to  know  the  status  of  the  return  request.  It  involves  starter  kit  on  my  side.,Refunds & Returns,None,Medium,Open
TKT-002737,2025-04-15 20:57:56,email,Basic,English,Subscription Plan,Please  review  this  request,I  THINK  I  WAS  CHARGED  INCORRECTLY  FOR  THIS.  IT  INVOLVES  SUBSCRIPTION  PLAN  ON  MY  SIDE.  I  NOTICED  THIS  AFTER  TRYING  TO  MAKE  A  PAYMENT.  PLEASE  LET  ME  KNOW  WHAT  I  SHOULD  DO  NEXT.,Billing,None,High,Open
TKT-003353,2025-01-07 15:46:38,email,Pro,English,Mobile App,cannot sign in on my account,I still cannot access the portal after trying several times. This is becoming urgent.,Account Access,None,Medium,Pending
TKT-002277,2025-02-13 18:59:12,chat,Pro,English,Replacement Unit,Issue with refund,"Hi  team,  I  noticed  an  unexpected  charge  and  need  clarification.  It  involves  replacement  unit  on  my  side.  At  the  same  time,  i  want  to  know  the  status  of  the  return  request.  Any  help  would  be  appreciated.",Billing,Refunds & Returns,Medium,Pending
TKT-002656,2025-04-24 11:54:55,phone,Basic,English,API,URGENT - Need an update on this issue,"Hi team, Could you explain the difference between the available options? This happened shortly after I updated my details. Thanks.",Product Inquiry,None,Medium,Open
TKT-002122,2025-07-16 08:11:31,chat,Pro,English,Web App,Problem with service,"Hi team, This looks like an account access problem. At the same time, i cannot complete the workflow because something keeps breaking. This is becoming urgent.",Account Access,Technical Support,High,Resolved
TKT-001109,2025-01-17 08:19:39,email,Pro,English,Starter Kit,PROBLEM  WITH  SERVICE,I  need  my  money  back  if  this  cannot  be  resolved.  I  need  this  resolved  as  soon  as  possible.  This  is  becoming  urgent.,Refunds & Returns,None,Medium,Open
TKT-000786,2025-07-23 16:32:24,email,Basic,English,Analytics Dashboard,Problem with service,"HELLO, I NEED HELP UNDERSTANDING WHETHER THIS IS COMPATIBLE WITH MY SETUP. IT INVOLVES ANALYTICS DASHBOARD ON MY SIDE. PLEASE LET ME KNOW WHAT I SHOULD DO NEXT.",Product Inquiry,None,High,Resolved
TKT-001221,2025-01-11 05:08:08,phone,Basic,French,Mobile App,Issue with recent order,"Hello,  The  password  reset  process  is  not  working.  At  the  same  time,  i  cannot  complete  the  workflow  because  something  keeps  breaking.  Please  advise.",Account Access,Technical Support,Medium,Pending
TKT-000221,2025-07-12 14:24:32,chat,Basic,English,Customer Portal,Need an update on this issue,This has become a problem for me. I want to understand the pricing options better. Please let me know what I should do next.,Product Inquiry,None,Low,Open
TKT-001726,2025-08-21 15:35:54,email,Enterprise,English,API,Need  an  update  on  this  issue,This has become a probem for me. The app crashes when I try to use this feature. I am using the web version. Thanks.,Technical Support,None,Medium,Resolved
TKT-000230,2025-06-29 09:15:25,chat,Basic,English,Replacement Unit,URGENT - QUESTION ABOUT MY ACCOUNT,The product arrived damaged and I need help with next steps. This is quite frustrating.,Refunds & Returns,None,Low,Pending
TKT-000719,2025-08-04 22:47:37,email,Basic,English,Web App,Follow-up on my previous issue,I am seeing unexpected behaviour in the product. It involves web app on my side. I have already tried a few times with no success. Any help would be appreciated.,Technical Support,None,Medium,Resolved
TKT-000355,2025-05-13 13:51:57,email,Basic,English,Mobile App,URGENT - Issue  not  resolved,"Hi, I cannot complete the workflow because something keeps breaking. It involves mobile app on my side. This started after my last purchase. I need this resolved as soon as possible. Thanks.",Technical Support,None,Medium,Open
TKT-000197,2025-08-18 06:21:12,phone,Basic,English,Analytics Dashboard,NEED HELP WITH ANALYTICS DASHBOARD PLEASE,"This has become a problem for me. The issue seems technical because the same step keeps timing out. In addition, i appear to be locked out and cannot get back in. This happened shortly after I updated my details. Please let me know what I should do next.",Technical Support,Account Access,Medium,Open
TKT-000310,2025-10-29 18:35:22,web_form,Basic,English,Customer Portal,Need an update on this isue,This  has  become  a  problem  for  me.  The  verification  step  is  failing  and  I  need  help.,Account Access,None,High,Open
TKT-001433,2025-03-18 02:05:46,email,Enterprise,French,Admin Console,Question about Admin Console,"Hi, The password reset process is not working. It involves admin console on my side. This is becoming urgent.",Account Access,None,Low,Resolved
TKT-003082,2025-07-06 02:38:03,chat,Pro,English,Admin Console,Issue with authentication problem,"Hi team, The password reset process is not working. It involves admin console on my side. Also, the app crashes when I try to use this feature. This is quite frustrating. Any help would be appreciated.",Account Access,Technical Support,Medium,Resolved
TKT-002597,2025-09-21 19:55:59,chat,Pro,English,Customer Portal,Need  an  update,"Hi team, I need someone to review the billing on this account. It involves customer portal on my side.",Billing,,High,Open
TKT-001722,2025-01-18 04:21:05,email,Basic,French,Replacement Unit,Support request,"Hello,  I  need  my  money  back  if  this  cannot  be  resolved.  Please  advise.",Refunds & Returns,None,Medium,Resolved
TKT-002341,2025-02-27 13:35:06,email,Basic,French,Invoice Portal,Issue with unexpected fee,I need help with something. The renewal amount looks different from what I expected. This happened shortly after I updated my details. I would appreciate a quick response.,Billing,None,Medium,Open
TKT-DUP-00054,2025-06-19 23:39:40,web_form,Pro,English,API,Follow-up on my previous issue,This has become a problem for me. The issue seems technical because the same step keeps timing out. I have already tried a few times with no success. Thanks.,Technical Support,None,High,Pending
TKT-002877,2025-02-06 09:04:30,web_form,Basic,English,Premium Device,Need help with Premium Device,"Hi,  I  have  not  had  an  update  on  my  refund  yet.  pls  look  into  this.",Refunds & Returns,None,High,Open
TKT-003318,2025-06-06 09:53:44,email,Free,French,Web App,Need support urgently,"Hello, I cannot sign in to my account at the moment. It involves web app on my side. Also, i think I was charged incorrectly for this. This is quite frustrating. I would appreciate a quick response.",Account Access,Billing,High,Open
TKT-001654,2025-04-11 03:22:12,email,Enterprise,English,Customer Portal,Help needed,"Hello, I noticed an unexpected charge and need clarification. I noticed this after trying to make a payment. I need this resolved as soon as possible. Any help would be appreciated.",Billing,None,High,Open
TKT-001830,2025-12-29 07:41:36,chat,Pro,French,API,Support request,"Hello, This was working before but now it keeps failing. It involves api on my side. please advise.",Technical Support,None,Medium,Resolved
TKT-001351,2025-04-09 11:44:44,email,Basic,English,Premium Device,Need help with my account,"Hi, I need my money back if this cannot be resolved. This may also be related because there seems to be a problem with the payment on my account.",Refunds & Returns,Billing,High,Resolved
TKT-000271,2025-01-09 21:50:30,web_form,Basic,Spanish,Analytics Dashboard,Need help with my acount,CAN YOU EXPLAIN HOW THIS FEATURE WORKS? IT INVOLVES ANALYTICS DASHBOARD ON MY SIDE. THIS SEEMS LINKED TO MY RECENT ORDER. I WAS HOPING THIS WOULD BE FIXED BY NOW. PLS LOOK INTO THIS.,Product Inquiry,None,Low,Open
TKT-001883,2025-01-26 12:27:30,chat,Enterprise,English,Subscription Plan,Need an update on this issue please,There seems to be a problem with the payment on my account.,Billing,None,High,Open
TKT-000658,2025-09-17 22:53:13,email,Basic,English,Premium Device,isue not resolved,I want to know the status of the return request.,Refunds & Returns,None,Medium,Resolved
TKT-001160,2025-07-02 21:40:21,N/A,Pro,Spanish,Subscription Plan,Support  request,"Hi team, Authentication is not going through on my side. Also, there seems to be a problem with the payment on my account. Please advise.",Account Access,Billing,High,Open
TKT-000416,2025-10-02 17:18:06,email,Enterprise,English,Data Export,Issue not resolved,Can someone help with this? The app crashes when I try to use this feature. It involves data export on my side. This may also be related because this looks like an account access problem. I noticed this after trying to make a payment. This is becoming urgent.,Technical Support,Account Access,High,Open
TKT-003160,2025-08-21 00:26:34,phone,Pro,English,Customer Portal,PLEASE CHECK THIS,This has become a problem for me. I cannot sign in to my account at the moment. Any help would be appreciated.,Account Access,None,Medium,Pending
TKT-003335,2025-11-23 12:41:08,,,English,Invoice Portal,Issue  with  amount  looks  wrong,I need help with something. The renewal amount looks different from what I expected. It involves invoice portal on my side. Any help would be appreciated.,Billing,None,Low,Resolved
TKT-000953,2025-06-29 22:44:43,phone,Enterprise,French,Invoice Portal,Please review this request,"Hello,  I  noticed  an  unexpected  charge  and  need  clarification.  It  involves  invoice  portal  on  my  side.  In  addition,  i  want  to  understand  the  pricing  options  better.",Billing,Product Inquiry,High,Pending
TKT-000394,2025-05-28 13:33:06,web_form,Basic,English,Mobile App,Please review this request,"The page is not loading properly and I cannot complete the task. At the same time, i cannot sign in to my account at the moment. This seems linked to my recent order. This has been going on since yesterday. This is becoming urgent.",Technical Support,Account Access,Medium,Open
TKT-002576,2025-05-14 15:17:41,chat,Pro,English,Web App,Question about Web App,"Hi, This looks like an account access problem. This may also be related because i am comparing plans and need clarification.",Account Access,Product Inquiry,Medium,Open
TKT-000033,2025-10-08 00:46:21,chat,Basic,English,Mobile App,Problem with Mobile App,"Hello, The login step keeps failing even though my details should be correct. It involves mobile app on my side. This may also be related because i need help understanding whether this is compatible with my setup. I am using the web version. I have already tried a few times with no success. Any help would be appreciated.",Account Access,Product Inquiry,Medium,Resolved
TKT-002259,2025-02-05 01:46:32,email,Pro,English,Data Export,Problem with Data Export,"Good morning, I need more information before making a decision. Also, the password reset process is not working.",Product Inquiry,Account Access,Medium,Open
TKT-001567,2025-02-21 02:03:26,email,Pro,English,Starter Kit,PROBLEM WITH SERVICE,"Hello,  I  need  my  money  back  if  this  cannot  be  resolved.  It  involves  starter  kit  on  my  side.  This  seems  linked  to  my  recent  order.  This  is  quite  frustrating.  This  is  becoming  urgent.",Refunds & Returns,None,Medium,Open
TKT-001018,2025-05-10 02:39:25,phone,Enterprise,English,Subscription Plan,Can  someone  help,I need someone to review the billing on this account. This happened shortly after I updated my details. This has been going on since yesterday. Any help would be appreciated.,Billing,None,Medium,Resolved
TKT-003334,2025-12-30 23:44:57,email,,English,Customer Portal,Issue with recent order,"Can someone help with this? I still cannot access the portal after trying several times. Also, the app crashes when I try to use this feature. I only need a clear update on what is happening. Thanks.",Account Access,Technical Support,High,Open
TKT-001585,2025-12-02 18:17:01,web_form,Pro,English,Premium Device,NEED AN UPDATE ON THIS ISSUE,,Orders & Delivery,None,High,Pending
TKT-002058,2025-10-18 09:56:38,web_form,Pro,English,Replacement Unit,Issue  not  resolved,"I am trying to return this purchase. Also, there appears to be an isue with the dispatch. This is becoming urgent.",Refunds & Returns,Orders & Delivery,High,Pending
TKT-002615,2025-07-19 02:54:28,email,,English,Customer Portal,PROBLEM WITH CUSTOMER PORTAL,I think I was charged incorrectly for this.,Billing,None,Medium,Pending
TKT-003344,2025-12-25 19:30:56,web_form,Basic,English,,Need  support  urgently,Could you explain the difference between the available options? It involves invoice portal on my side. I only need a clear update on what is happening. I need this resolved as soon as possible.,Product Inquiry,None,Medium,Open
TKT-000411,2025-09-17 23:25:11,web_form,Pro,English,,Need help with my acount,"Hello, Can you explain how this feature works? It involves starter kit on my side. In addition, the app crashes when I try to use this feature. I was hoping this would be fixed by now. Thanks.",Product Inquiry,Technical Support,High,Open
TKT-001827,2025-02-20 15:27:59,email,Basic,English,Web App,Can someone help,This was working before but now it keeps failing. I was hoping this would be fixed by now. I would appreciate a quick response.,Technical Support,None,Medium,Pending
TKT-001353,2025-08-11 16:01:19,chat,Basic,English,Data Export,pls review this request,I need help with something. I am seeing unexpected behaviour in the product. I am using the web version. Please look into this.,Technical Support,None,High,Resolved
TKT-001042,2025-05-23 17:23:09,,Pro,Spanish,Replacement Unit,Support request,This has become a problem for me. The package is missing and I need an update. This seems linked to my recent order.,Orders & Delivery,None,Medium,Resolved
TKT-000479,2025-12-15 12:48:38,chat,Free,French,Mobile App,Support request,"I  cannot  sign  in  to  my  account  at  the  moment.  In  addition,  there  seems  to  be  a  problem  with  the  payment  on  my  account.  I  am  using  the  service  on  mobile.  Please  look  into  this.",Account Access,Billing,Medium,Open
TKT-002255,2025-10-04 13:06:52,chat,Pro,English,Starter Kit,Problem with Starter Kit,"Hi team, The package is missing and I need an update. It involves starter kit on my side. I noticed this after trying to make a payment.",Orders & Delivery,None,High,Resolved
TKT-000015,2025-04-19 01:32:22,web_form,Pro,Spanish,,isue with return request,"Hi team, I have not had an update on my refund yet. It involves premium device on my side.",Refunds & Returns,None,Medium,Pending
TKT-003354,2025-09-05 17:09:58,email,Enterprise,English,Customer Portal,Problem with service,THIS  HAS  BECOME  A  PROBLEM  FOR  ME.  THE  INVOICE  DOES  NOT  LOOK  RIGHT  TO  ME.  ANY  HELP  WOULD  BE  APPRECIATED.,Billing,None,Medium,Pending
TKT-003587,2025-09-17 12:18:41,chat,Basic,English,API,Need an update on this isue,The export fails halfway through and I do not know why. I noticed this after trying to make a payment. Thanks.,Technical Support,None,High,Open
TKT-000991,2025-05-06 14:09:02,email,Pro,English,Web App,URGENT - Issue  with  recent  order,Authentication is not going through on my side. It involves web app on my side. This is affecting my work today. Please advise.,Account Access,None,Medium,Open
TKT-000804,2025-04-16 10:16:57,chat,Pro,French,Starter Kit,Need help with my account,"Hi  team,  There  appears  to  be  an  isue  with  the  dispatch.  It  involves  starter  kit  on  my  side.  I  noticed  this  after  trying  to  make  a  payment.  I  need  this  resolved  as  soon  as  possible.",Orders & Delivery,None,Medium,Open
TKT-001165,2025-02-15 13:30:15,web_form,Free,Spanish,Analytics Dashboard,Please check this,The page is not loading properly and I cannot complete the task. It involves analytics dashboard on my side. This may also be related because the amount shown on the invoice looks wrong. I have already tried a few times with no success.,Technical Support,Billing,High,Open
TKT-001499,2025-04-06 18:28:19,chat,Basic,English,Data Export,Problem with Data Export,Can  someone  help  with  this?  I  am  seeing  unexpected  behaviour  in  the  product.  It  involves  data  export  on  my  side.  This  started  after  my  last  purchase.  This  has  been  going  on  since  yesterday.,Technical Support,None,High,Resolved
TKT-001279,2025-09-16 09:04:04,chat,Pro,Spanish,Analytics Dashboard,Need an update,"Hi team, The app crashes when I try to use this feature. Also, i am not sure why this payment failed. This is becoming urgent.",Technical Support,Billing,Low,Open
TKT-002261,2025-12-01 00:11:19,web_form,Free,English,Replacement Unit,Problem with Replacement Unit,"Hi, Delivery is taking longer than expected. This is affecting my work today. Please advise.",Orders & Delivery,None,Medium,Resolved
TKT-002758,2025-04-28 06:01:21,phone,Basic,English,API,Please check this,"Hi team, The system keeps showing an error when I try to continue. It involves api on my side.",Technical Support,None,Medium,Resolved
TKT-003558,2025-04-07 18:32:42,web_form,Enterprise,English,Premium Device,URGENT - Need help with my account,"Hi team, My order has still not arrived. This may also be related because i have not had an update on my refund yet.",Orders & Delivery,Refunds & Returns,Low,Open
TKT-DUP-00092,2025-08-23 13:13:08,email,Free,French,Starter Kit,Need help with Starter Kit,This  has  become  a  problem  for  me.  I  want  to  know  the  status  of  the  return  request.  It  involves  starter  kit  on  my  side.,Refunds & Returns,None,Medium,Open
TKT-001150,2025-04-18 18:13:56,email,Basic,English,Replacement Unit,Need support urgently,This has become a problem for me. I think the wrong item was sent. Any help would be appreciated.,Orders & Delivery,None,Low,Resolved
TKT-001229,2025-09-10 09:49:19,email,Pro,French,Premium Device,Issue with compatibility,This has become a problem for me. This is more of a general product question. It involves premium device on my side. This happened shortly after I updated my details. This has been going on since yesterday. Thanks.,Product Inquiry,None,Low,Open
